question,expected_answer,actual_answer,precision,recall,f1_score
E-Learning là gì? Những ưu điểm của phương thức đạo tạo E-learning?,"E-learning (Electronic Learning) là phương pháp giảng dạy và học tập trực tuyến được thực hiện dựa trên hệ thống có kết nối mạng Internet. Nền tảng này cho phép giáo viên và học sinh giao tiếp, tương tác và trao đổi tài liệu, giáo án với nhau mà không cần gặp mặt trực tiếp. Các ưu điểm chính của E-learning bao gồm: không giới hạn không gian và thời gian học tập, người học có thể học bất cứ nơi đâu và khi nào họ muốn thông qua máy tính và các thiết bị thông minh; tiết kiệm thời gian vì người học chủ động hơn về thời gian tham gia khóa học; tiết kiệm chi phí đi lại và các chi phí khác; chủ động trong kiểm tra đánh giá, sinh viên có thể tham gia làm bài kiểm tra linh hoạt trong thời gian quy định và thực hiện nhiều lần để củng cố kiến thức","E-Learning, viết tắt của Electronic Learning, là phương pháp giảng dạy và học tập trực tuyến dựa trên hệ thống mạng internet. Giáo viên và học sinh có thể tương tác, trao đổi tài liệu và giáo án mà không cần gặp mặt trực tiếp. Những ưu điểm của phương thức đào tạo E-learning bao gồm: không giới hạn không gian và thời gian, học viên có thể học bất cứ lúc nào, bất cứ nơi đâu, miễn là có kết nối internet và thiết bị như máy tính, điện thoại thông minh, máy tính bảng; tiết kiệm thời gian vì học viên chủ động hơn trong việc sắp xếp thời gian học tập và công việc; tiết kiệm chi phí đi lại và các chi phí khác liên quan đến việc học tập; chủ động trong kiểm tra đánh giá, học viên có thể làm bài kiểm tra linh hoạt trong thời gian quy định và có thể thực hiện nhiều lần để củng cố kiến thức. Tuy nhiên, E-learning cũng đòi hỏi học viên có tính tự giác cao, khả năng tự học và trang bị thiết bị, kỹ năng sử dụng internet và máy tính",0.8683058,0.8995964,0.8836742
Hình thức học này có điểm danh hay yêu cầu phải học trong 1 khung giờ nhất định không?,"Hình thức học này không điểm danh. Trước khi bắt đầu năm học mới, sinh viên sẽ được nhận thời khóa biểu của các học phần trong kỳ học đó, mỗi học phần thường có 2 buổi trao đổi trực tiếp với các thầy cô giảng dạy. Lịch học cụ thể sẽ được giảng viên giảng dạy thông báo trên diễn đàn và hệ thống sẽ gửi vào mail cho sinh viên. Mặc dù không điểm danh, nhưng buổi trao đổi rất ý nghĩa, sinh viên có thể tìm hiểu nhiều thông tin không chỉ liên quan đến học tập mà còn có những thông tin về thầy cô, trường, lớp vì vậy khuyến khích sinh viên nên tham gia buổi trao đổi đó","Hình thức học này không điểm danh và không yêu cầu phải học trong một khung giờ nhất định. Tuy nhiên, mỗi học phần sẽ có khoảng 2 buổi trao đổi trực tiếp với giảng viên, lịch cụ thể sẽ được thông báo trên diễn đàn và gửi vào email của sinh viên",0.81708735,0.75947464,0.78722835
Em muốn hỏi về địa điểm thi kết thúc học phần ở đâu?,"Địa điểm thi kết thúc học phần sẽ diễn ra tại Trường và 2 Trạm ĐTTX: Trường Đại học Kỹ thuật Công nghiệp tại số 666, đường 3/2, phường Tích Lương, TP Thái Nguyên; Trạm Hà Nội tại Trường CĐ Cơ Điện Hà Nội, số 160 Mai Dịch, Cầu Giấy, Hà Nội; Trạm Hồ Chí Minh tại Trường CĐ Nông Nghiệp Nam Bộ, 511 đường An Dương Vương, phường An Lạc A, Quận Bình Tân, TP. HCM","Kỳ thi kết thúc học phần sẽ được tổ chức tại 3 địa điểm: Trường Đại học Kỹ thuật Công nghiệp tại số 666, đường 3/2, phường Tích Lương, TP Thái Nguyên; Trạm Hà Nội tại Trường CĐ Cơ Điện Hà Nội, số 160 Mai Dịch, Cầu Giấy, Hà Nội; Trạm Hồ Chí Minh tại Trường CĐ Nông Nghiệp Nam Bộ, 511 đường An Dương Vương, phường An Lạc A, Quận Bình Tân, TP. HCM",0.96887803,0.9491424,0.9589087
Việc thi hết môn/kết thúc học phần nếu trường hợp không thể tham gia thi có được xin hoãn thi không?,"Trong trường hợp có việc bất khả kháng vào thời gian diễn ra kỳ thi kết thúc học phần mà không thể tham gia thi được, sinh viên có thể xin hoãn thi. Sinh viên làm đơn xin hoãn thi gửi thầy/cô chủ nhiệm. Kết quả học tập, điểm thành phần của các học phần sinh viên học tại kỳ đó sẽ được bảo lưu, đồng thời sinh viên sẽ thi các học phần xin hoãn đó vào kỳ thi kế tiếp","Có. Trong trường hợp có việc bất khả kháng không thể tham gia kỳ thi kết thúc học phần, bạn có thể làm đơn xin hoãn thi gửi thầy/cô chủ nhiệm. Kết quả học tập và điểm thành phần sẽ được bảo lưu, và bạn sẽ thi các học phần đó vào kỳ thi kế tiếp",0.91240096,0.86389524,0.88748586
"Nếu em không qua môn, em sẽ phải học lại như thế nào?","Sinh viên không đạt yêu cầu trong một học phần sẽ cần đăng ký học lại học phần đó để cải thiện kết quả và tích lũy đủ tín chỉ theo chương trình đào tạo. Quy định về học lại bao gồm: sinh viên phải đăng ký học lại các học phần chưa đạt trong các kỳ học tiếp theo, việc đăng ký cần tuân thủ quy định về thời gian và quy trình của nhà trường; sinh viên sẽ phải đóng học phí cho các học phần học lại theo mức phí hiện hành của trường; việc học lại có thể được tổ chức cùng với các lớp chính khóa hoặc trong các lớp riêng, tùy thuộc vào kế hoạch đào tạo của trường","Nếu em không qua môn, em sẽ phải đăng ký học lại học phần đó trong các kỳ học tiếp theo. Việc đăng ký cần tuân thủ quy định về thời gian và quy trình của nhà trường. Em sẽ phải đóng học phí cho các học phần học lại theo mức phí hiện hành của trường. Việc học lại có thể được tổ chức cùng với các lớp chính khóa hoặc trong các lớp riêng, tùy thuộc vào kế hoạch đào tạo của trường. Đối với học phần bắt buộc (HP bắt buộc), em phải học lại cho đến khi đạt điểm D trở lên. Đối với học phần tự chọn (HP tự chọn), em có thể học lại hoặc chọn học phần thay thế. Nếu điểm đạt được là C+ trở xuống, em có thể học cải thiện để nâng cao điểm số",0.7759676,0.81594765,0.79545563
Quy định về xét tốt nghiệp của Nhà trường như thế nào?,"Theo Điều 36 Chương V trong QC ĐTTX ngày 18/2/2025, quy định xét tốt nghiệp của Trường Đại học Kỹ thuật Công nghiệp bao gồm: Điều kiện xét tốt nghiệp là không bị truy cứu trách nhiệm hình sự hoặc kỷ luật đình chỉ học tập, hoàn thành chương trình ĐTTX và tích lũy đủ số tín chỉ, có chứng chỉ GDQP-AN, đạt chuẩn đầu ra, điểm trung bình tích lũy toàn khóa từ 2.00 trở lên, không nợ sách thư viện, học phí và các khoản phí khác. Thời điểm xét tốt nghiệp sau mỗi học kỳ chính và học kỳ phụ nếu cần. Hạng tốt nghiệp gồm Xuất sắc 3.60-4.00, Giỏi 3.20-3.59, Khá 2.50-3.19, Trung bình 2.00-2.49. Hạng Xuất sắc/Giỏi bị giảm một bậc nếu học lại/học cải thiện trên 5% tổng số tín chỉ chương trình hoặc bị kỷ luật từ mức cảnh cáo trở lên. Phương thức thực hiện bao gồm trường thông báo kế hoạch xét tốt nghiệp, sinh viên đăng ký xét tốt nghiệp trực tuyến, Hội đồng xét tốt nghiệp xem xét và Hiệu trưởng ra quyết định công nhận tốt nghiệp, cấp giấy chứng nhận tốt nghiệp tạm thời và bảng điểm nếu sinh viên có nhu cầu, trong vòng 03 tháng sau khi đủ điều kiện trường cấp bằng tốt nghiệp, sinh viên không tốt nghiệp được cấp chứng nhận số tín chỉ tích lũy, sinh viên chưa đạt chuẩn đầu ra có 03 năm để hoàn thành điều kiện còn thiếu và xin xét tốt nghiệp","Theo Điều 36 Chương V trong Quy chế Đào tạo từ xa (QC ĐTTX) ngày 18/2/2025, quy định xét tốt nghiệp của Trường Đại học Kỹ thuật Công nghiệp như sau: Điều kiện xét tốt nghiệp bao gồm không bị truy cứu trách nhiệm hình sự hoặc kỷ luật đình chỉ học tập, hoàn thành chương trình Đào tạo từ xa (ĐTTX) và tích lũy đủ số tín chỉ, có chứng chỉ Giáo dục Quốc phòng - An ninh (GDQP-AN), đạt chuẩn đầu ra, điểm trung bình tích lũy toàn khóa từ 2.00 trở lên, không nợ sách thư viện, học phí và các khoản phí khác. Thời điểm xét tốt nghiệp sau mỗi học kỳ chính và học kỳ phụ nếu cần. Hạng tốt nghiệp được phân loại dựa trên điểm trung bình tích lũy: Xuất sắc từ 3.60 - 4.00, Giỏi từ 3.20 - 3.59",0.86219436,0.79871184,0.8292399
Muốn học nhanh thì có rút ngắn thời gian đào tạo được không?,"Theo Đề án tuyển sinh đào tạo từ xa và Thông báo tuyển sinh đào tạo từ xa của Trường ĐHKTCN có thông báo, sinh viên có thể đăng ký học vượt để rút ngắn thời gian đào tạo. Sinh viên đăng ký học vượt có thể liên hệ với GVCN để được hướng dẫn","Có, bạn có thể rút ngắn thời gian đào tạo. Theo thông báo tuyển sinh đào tạo từ xa của Trường ĐHKTCN, sinh viên có thể đăng ký học vượt để rút ngắn thời gian. Tuy nhiên, việc học vượt phải tuân thủ quy định về khối lượng học tập tối thiểu trong mỗi học kỳ (không ít hơn 2/3 khối lượng tín chỉ quy định) theo Thông tư 08/2021/TT-BGDĐT. Bạn nên liên hệ với Giáo viên chủ nhiệm để được hướng dẫn cụ thể về thủ tục và điều kiện đăng ký học vượt",0.74266446,0.83521074,0.7862236
"Quy định về các học phần thực hành, thí nghiệm như thế nào?","Quy định về các học phần thực hành, thí nghiệm như thế nào? Đối với các học phần này em sẽ đến Trường hoặc Cơ sở liên kết để tham gia thực hành, thí nghiệm. Sau đó, em sẽ làm báo cáo để hoàn thành môn học. Điểm báo cáo chiếm tỷ lệ 100%","Đối với các học phần thực hành, thí nghiệm, em sẽ đến Trường hoặc Cơ sở liên kết để tham gia thực hành, thí nghiệm. Sau đó, em sẽ làm báo cáo để hoàn thành môn học. Điểm báo cáo chiếm tỷ lệ 100%",0.9614069,0.91160864,0.93584573
Cách thức đăng ký học phần như thế nào?,"Theo Điều 26, chương III trong QC ĐTTX ngày 18/2/2025, cách thức đăng ký học phần như sau: Trường thông báo kế hoạch ĐKHP trước mỗi học kỳ từ 2-3 tuần. CNL-CVHT có trách nhiệm tư vấn, hỗ trợ người học xây dựng kế hoạch học tập phù hợp. Người học có trách nhiệm ĐKHP đúng kế hoạch, phù hợp khả năng và có sự tư vấn từ CVHT, bảo mật tài khoản, theo dõi thời khóa biểu, tham gia học tập, nộp học phí theo quy định. Phương thức ĐKHP là đăng ký theo kế hoạch của Trường, đảm bảo trình tự học theo CTĐT. Số tín chỉ tối thiểu ≥2/3 khối lượng trung bình một học kỳ, tối đa ≤3/2 khối lượng trung bình một học kỳ, không áp dụng tối thiểu với sinh viên năm cuối và học kỳ phụ. Đăng ký học lại, học cải thiện: HP bắt buộc điểm F phải học lại đến khi đạt D trở lên, HP tự chọn điểm F có thể học lại hoặc chọn HP thay thế, HP đạt điểm C+ trở xuống có thể học cải thiện với điểm cao nhất được tính, học lại và cải thiện phải nộp học phí. Về rút HP: rút trong tuần đầu không mất học phí, rút trước khi kết thúc học kỳ 4 tuần (chính) hoặc 3 tuần (phụ) nhận điểm Z và không được hoàn phí, tự ý bỏ học không rút sẽ nhận điểm F và vẫn phải nộp học phí, chỉ được dừng học khi có xác nhận từ Trường/GV phụ trách","Trường sẽ thông báo kế hoạch đăng ký học phần (ĐKHP) trước mỗi học kỳ.  Bạn cần đăng ký học phần đúng kế hoạch, phù hợp với khả năng của mình và có sự tư vấn từ cán bộ hướng dẫn.  Thời gian đăng ký là trước mỗi học kỳ từ 2-3 tuần.  Phương thức đăng ký là theo kế hoạch của trường, đảm bảo trình tự học theo chương trình đào tạo.  Số tín chỉ tối thiểu đăng ký là ≥2/3 khối lượng trung bình một học kỳ (khuyến khích).  Bạn cần bảo mật tài khoản, theo dõi thời khóa biểu, tham gia học tập và nộp học phí theo quy định",0.805956,0.7186601,0.7598089
Em có thể chuyển ngành hoặc học cùng lúc hai chương trình không?,"Em có thể được xem xét chuyển ngành hoặc học cùng lúc hai chương trình nếu đáp ứng các điều kiện theo quy định của Trường Đại học Kỹ thuật Công nghiệp. Theo Mục II trong Phụ lục V của QC ĐTTX số 222 ngày 18/2/2025, điều kiện chuyển ngành bao gồm: không đang là người học trình độ năm thứ nhất hoặc năm cuối khóa, không thuộc diện bị xem xét buộc thôi học và còn đủ thời gian học tập theo quy định, người học đạt điều kiện trúng tuyển của chương trình ngành đào tạo trong cùng khóa tuyển sinh, trường có đủ các điều kiện bảo đảm chất lượng chưa vượt quá năng lực đào tạo, được sự đồng ý của trưởng các khoa chuyên môn phụ trách chương trình ngành đào tạo và của Hiệu trưởng. Về học cùng lúc hai chương trình: em có thể đăng ký học thêm các học phần của một chương trình khác khi điều kiện của Trường cho phép, được đăng ký học chương trình thứ hai sớm nhất khi đã được xếp trình độ năm thứ hai của chương trình thứ nhất. Tại thời điểm đăng ký phải đáp ứng: ngành đào tạo chính ở chương trình thứ hai phải khác ngành đào tạo chính ở chương trình thứ nhất, học lực tính theo điểm trung bình tích lũy xếp loại khá trở lên và đáp ứng ngưỡng bảo đảm chất lượng của chương trình thứ hai hoặc học lực xếp loại trung bình và đáp ứng điều kiện trúng tuyển của chương trình thứ hai. Trong quá trình học nếu điểm trung bình tích lũy của chương trình thứ nhất đạt dưới điểm trung bình hoặc thuộc diện cảnh báo thì phải dừng học chương trình thứ hai. Thời gian tối đa được phép học là thời gian tối đa quy định cho chương trình thứ nhất. Em chỉ được xét tốt nghiệp chương trình thứ hai nếu có đủ điều kiện tốt nghiệp ở chương trình thứ nhất và đã đăng ký muộn nhất 02 năm trước thời điểm xét tốt nghiệp chương trình thứ hai","Bạn có thể học cùng lúc hai chương trình hoặc chuyển ngành, nhưng phải đáp ứng các điều kiện sau: Đối với học cùng lúc hai chương trình, bạn phải đã là sinh viên năm thứ hai trở lên của chương trình thứ nhất, ngành đào tạo chính ở chương trình thứ hai phải khác ngành đào tạo chính ở chương trình thứ nhất, bạn phải đạt điểm trung bình tích lũy xếp loại khá trở lên hoặc đáp ứng ngưỡng xét chuyển ngành, bạn phải đăng ký học chương trình thứ hai theo quy định của trường, thời gian học tối đa cho cả hai chương trình bằng thời gian tối đa quy định cho chương trình thứ nhất, bạn chỉ được xét tốt nghiệp chương trình thứ hai nếu đã tốt nghiệp chương trình thứ nhất và đăng ký tốt nghiệp chương trình thứ hai muộn nhất 2 năm trước thời điểm xét tốt nghiệp. Đối với chuyển ngành, bạn không được là sinh viên năm nhất hoặc năm cuối, bạn không thuộc diện bị xem xét buộc thôi học, bạn còn đủ thời gian học tập theo quy định, bạn đạt điều kiện trúng tuyển của chương trình ngành đào tạo trong cùng khóa tuyển sinh, trường và cơ sở đào tạo phải đáp ứng đủ điều kiện bảo đảm chất lượng và chưa vượt quá năng lực đào tạo, bạn phải được sự đồng ý của trưởng các khoa chuyên môn phụ trách chương trình ngành đào tạo cả nơi chuyển đi và chuyển đến và của Hiệu trưởng. Việc bạn có thể chuyển ngành hay học cùng lúc hai chương trình phụ thuộc vào việc bạn đáp ứng đầy đủ các điều kiện nêu trên. Bạn nên liên hệ trực tiếp với phòng đào tạo của trường Đại học Kỹ thuật Công nghiệp để được tư vấn cụ thể và rõ ràng hơn",0.7945012,0.78235227,0.7883799
